waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T00:53:08,26.76,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:08,28.67,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:09,32.15,Terlalu Cepat,YA,Normal
2025-06-04T00:53:09,31.1,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:10,29.06,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:10,29.33,Aman,TIDAK,Normal
2025-06-04T00:53:11,30.75,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:12,27.83,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:12,27.56,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:12,30.35,Terlalu Cepat,YA,Normal
2025-06-04T00:53:13,30.46,Terlalu Cepat,YA,Normal
2025-06-04T00:53:13,32.12,Terlalu Cepat,YA,Normal
2025-06-04T00:53:14,30.32,Terlalu Cepat,YA,Normal
2025-06-04T00:53:14,28.9,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:15,30.35,Terlalu Cepat,YA,Normal
2025-06-04T00:53:16,27.89,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:17,30.12,Terlalu Cepat,YA,Normal
2025-06-04T00:53:17,31.71,Terlalu Cepat,YA,Normal
2025-06-04T00:53:17,28.63,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:19,30.49,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:19,28.99,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:19,29.43,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:20,31.8,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:20,31.7,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:21,28.46,Aman,TIDAK,Normal
2025-06-04T00:53:21,29.97,Aman,TIDAK,Normal
2025-06-04T00:53:21,29.99,Aman,TIDAK,Normal
2025-06-04T00:53:21,28.06,Aman,TIDAK,Normal
2025-06-04T00:53:23,30.91,Terlalu Cepat,YA,Normal
2025-06-04T00:53:23,30.02,Terlalu Cepat,YA,Normal
2025-06-04T00:53:25,28.2,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:25,29.96,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:26,31.85,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:26,27.32,Aman,TIDAK,Normal
2025-06-04T00:53:27,29.93,Aman,TIDAK,Normal
2025-06-04T00:53:27,28.3,Aman,TIDAK,Normal
2025-06-04T00:53:28,30.08,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:28,28.48,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:28,29.75,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:28,28.17,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:29,30.94,Terlalu Cepat,YA,Normal
2025-06-04T00:53:30,27.61,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:30,29.15,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:30,32.79,Terlalu Cepat,YA,Normal
2025-06-04T00:53:32,30.63,Terlalu Cepat,YA,Normal
2025-06-04T00:53:32,32.17,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:33,28.18,Aman,TIDAK,Normal
2025-06-04T00:53:34,28.63,Aman,TIDAK,Normal
2025-06-04T00:53:35,29.25,Aman,TIDAK,Normal
2025-06-04T00:53:35,31.58,Terlalu Cepat,YA,Normal
2025-06-04T00:53:35,30.08,Terlalu Cepat,YA,Normal
2025-06-04T00:53:36,30.46,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:36,26.43,Aman,TIDAK,Normal
2025-06-04T00:53:37,30.64,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:37,28.92,Aman,TIDAK,Normal
2025-06-04T00:53:37,28.32,Aman,TIDAK,Normal
2025-06-04T00:53:38,29.69,Aman,TIDAK,Normal
2025-06-04T00:53:38,29.69,Aman,TIDAK,Normal
2025-06-04T00:53:38,29.59,Aman,TIDAK,Normal
2025-06-04T00:53:39,32.45,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:40,31.23,Terlalu Cepat,YA,Normal
2025-06-04T00:53:43,30.72,Terlalu Cepat,YA,Normal
2025-06-04T00:53:43,30.72,Terlalu Cepat,YA,Normal
2025-06-04T00:53:44,27.74,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:44,29.48,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:44,27.74,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:45,29.81,Aman,TIDAK,Normal
2025-06-04T00:53:45,31.58,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:45,31.7,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:45,28.6,Aman,TIDAK,Normal
2025-06-04T00:53:45,30.67,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:46,28.08,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:47,29.28,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:47,30.93,Terlalu Cepat,YA,Normal
2025-06-04T00:53:48,27.4,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:49,26.86,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:50,30.53,Terlalu Cepat,YA,Normal
2025-06-04T00:53:52,31.4,Terlalu Cepat,YA,Normal
2025-06-04T00:53:52,27.06,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:52,31.19,Terlalu Cepat,YA,Normal
2025-06-04T00:53:53,32.56,Terlalu Cepat,YA,Normal
2025-06-04T00:53:53,32.73,Terlalu Cepat,YA,Normal
2025-06-04T00:53:53,30.86,Terlalu Cepat,YA,Normal
2025-06-04T00:53:53,30.93,Terlalu Cepat,YA,Normal
2025-06-04T00:53:54,30.77,Terlalu Cepat,YA,Normal
2025-06-04T00:53:55,29.37,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:53:55,30.88,Terlalu Cepat,YA,Normal
2025-06-04T00:53:55,30.9,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:55,32.05,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:56,31.86,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:53:56,28.8,Aman,TIDAK,Normal
2025-06-04T00:53:58,32.49,Terlalu Cepat,YA,Normal
2025-06-04T00:54:00,31.17,Terlalu Cepat,YA,Normal
2025-06-04T00:54:00,29.79,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:54:00,31.35,Terlalu Cepat,YA,Normal
2025-06-04T00:54:01,27.4,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:54:01,29.37,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:54:01,30.79,Terlalu Cepat,YA,Normal
2025-06-04T00:54:02,29.97,Aman,YA,Mobil lambat kena speedbump
