waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T01:13:30,29.9,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:31,30.5,Terlalu Cepat,YA,Normal
2025-06-04T01:13:31,36.65,Terlalu Cepat,YA,Normal
2025-06-04T01:13:32,25.21,Aman,TIDAK,Normal
2025-06-04T01:13:32,30.17,Terlalu Cepat,YA,Normal
2025-06-04T01:13:33,27.64,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:34,30.64,Terlalu Cepat,YA,Normal
2025-06-04T01:13:34,27.8,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:34,32.7,Terlalu Cepat,YA,Normal
2025-06-04T01:13:34,31.01,Terlalu Cepat,YA,Normal
2025-06-04T01:13:34,33.5,Terlalu Cepat,YA,Normal
2025-06-04T01:13:35,28.63,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:35,35.71,Terlalu Cepat,YA,Normal
2025-06-04T01:13:36,31.56,Terlalu Cepat,YA,Normal
2025-06-04T01:13:37,28.61,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:38,32.22,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:38,30.36,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:38,32.95,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:40,31.75,Terlalu Cepat,YA,Normal
2025-06-04T01:13:41,30.24,Terlalu Cepat,YA,Normal
2025-06-04T01:13:42,31.98,Terlalu Cepat,YA,Normal
2025-06-04T01:13:43,25.92,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:43,27.09,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:43,27.04,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:43,29.54,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:43,28.16,Aman,YA,Mobil lambat kena speedbump
2025-06-04T01:13:44,33.58,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:44,35.63,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T01:13:45,31.65,Terlalu Cepat,TIDAK,Mobil cepat lolos
