waktu,kecepatan,status,kena_speedbump,catatan
2025-06-04T00:46:23,30.5,Terlalu Cepat,YA,Normal
2025-06-04T00:46:23,23.36,Aman,TIDAK,Normal
2025-06-04T00:46:24,28.52,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:46:25,30.09,Terlalu Cepat,YA,Normal
2025-06-04T00:46:25,21.25,Aman,YA,Mobil lambat kena speedbump
2025-06-04T00:46:27,25.95,Aman,TIDAK,Normal
2025-06-04T00:46:28,22.96,Aman,TIDAK,Normal
2025-06-04T00:46:28,17.53,Aman,TIDAK,Normal
2025-06-04T00:46:30,20.25,Aman,TIDAK,Normal
2025-06-04T00:46:30,22.74,Aman,TIDAK,Normal
2025-06-04T00:46:30,24.72,Aman,TIDAK,Normal
2025-06-04T00:46:32,20.55,Aman,TIDAK,Normal
2025-06-04T00:46:32,24.52,Aman,TIDAK,Normal
2025-06-04T00:46:32,21.87,Aman,TIDAK,Normal
2025-06-04T00:46:33,23.79,Aman,TIDAK,Normal
2025-06-04T00:46:35,22.26,Aman,TIDAK,Normal
2025-06-04T00:46:35,19.83,Aman,TIDAK,Normal
2025-06-04T00:46:36,22.45,Aman,TIDAK,Normal
2025-06-04T00:46:36,23.32,Aman,TIDAK,Normal
2025-06-04T00:46:36,18.79,Aman,TIDAK,Normal
2025-06-04T00:46:36,23.01,Aman,TIDAK,Normal
2025-06-04T00:46:37,17.18,Aman,TIDAK,Normal
2025-06-04T00:46:38,21.19,Aman,TIDAK,Normal
2025-06-04T00:46:38,19.12,Aman,TIDAK,Normal
2025-06-04T00:46:39,19.72,Aman,TIDAK,Normal
2025-06-04T00:46:39,26.08,Aman,TIDAK,Normal
2025-06-04T00:46:40,30.03,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:46:40,16.57,Aman,TIDAK,Normal
2025-06-04T00:46:40,26.11,Aman,TIDAK,Normal
2025-06-04T00:46:40,22.16,Aman,TIDAK,Normal
2025-06-04T00:46:42,16.05,Aman,TIDAK,Normal
2025-06-04T00:46:43,24.61,Aman,TIDAK,Normal
2025-06-04T00:46:43,25.82,Aman,TIDAK,Normal
2025-06-04T00:46:44,19.74,Aman,TIDAK,Normal
2025-06-04T00:46:45,19.42,Aman,TIDAK,Normal
2025-06-04T00:46:46,23.15,Aman,TIDAK,Normal
2025-06-04T00:46:47,24.08,Aman,TIDAK,Normal
2025-06-04T00:46:48,22.92,Aman,TIDAK,Normal
2025-06-04T00:46:48,26.99,Aman,TIDAK,Normal
2025-06-04T00:46:48,21.91,Aman,TIDAK,Normal
2025-06-04T00:46:49,20.39,Aman,TIDAK,Normal
2025-06-04T00:46:49,18.5,Aman,TIDAK,Normal
2025-06-04T00:46:50,23.87,Aman,TIDAK,Normal
2025-06-04T00:46:50,21.83,Aman,TIDAK,Normal
2025-06-04T00:46:50,23.87,Aman,TIDAK,Normal
2025-06-04T00:46:52,21.31,Aman,TIDAK,Normal
2025-06-04T00:46:52,23.69,Aman,TIDAK,Normal
2025-06-04T00:46:53,20.45,Aman,TIDAK,Normal
2025-06-04T00:46:54,25.92,Aman,TIDAK,Normal
2025-06-04T00:46:54,15.1,Aman,TIDAK,Normal
2025-06-04T00:46:54,17.8,Aman,TIDAK,Normal
2025-06-04T00:46:55,24.84,Aman,TIDAK,Normal
2025-06-04T00:46:55,21.28,Aman,TIDAK,Normal
2025-06-04T00:46:56,20.55,Aman,TIDAK,Normal
2025-06-04T00:46:57,30.02,Terlalu Cepat,TIDAK,Mobil cepat lolos
2025-06-04T00:46:58,20.68,Aman,TIDAK,Normal
2025-06-04T00:46:58,26.1,Aman,TIDAK,Normal
2025-06-04T00:46:59,18.17,Aman,TIDAK,Normal
2025-06-04T00:47:00,26.24,Aman,TIDAK,Normal
2025-06-04T00:47:01,16.7,Aman,TIDAK,Normal
2025-06-04T00:47:02,21.84,Aman,TIDAK,Normal
2025-06-04T00:47:03,12.78,Aman,TIDAK,Normal
2025-06-04T00:47:03,18.91,Aman,TIDAK,Normal
2025-06-04T00:47:03,26.43,Aman,TIDAK,Normal
2025-06-04T00:47:03,23.17,Aman,TIDAK,Normal
2025-06-04T00:47:04,18.73,Aman,TIDAK,Normal
